"hours_since_inj","tch_avs","tch_ses","trt","fen","lps","meanANDse","meanMINUSse"
7,0.551011204479334,0.221618299969514,"N_N","N","N",0.772629504448849,0.32939290450982
7,0.0957703840708831,0.24295917012167,"N_Y","N","Y",0.338729554192553,-0.147188786050787
7,0.0432104896023008,0.45471702257766,"Y_N","Y","N",0.497927512179961,-0.411506532975359
7,0.808922587012759,0.188437144072044,"Y_Y","Y","Y",0.997359731084803,0.620485442940715
7.5,0.80567827118507,0.354661467935284,"N_N","N","N",1.16033973912035,0.451016803249786
7.5,-0.0842761814718429,0.235901971775942,"N_Y","N","Y",0.151625790304099,-0.320178153247785
7.5,0.0902500696682485,0.357054114610846,"Y_N","Y","N",0.447304184279094,-0.266804044942597
7.5,0.823948843422627,0.201762921878381,"Y_Y","Y","Y",1.02571176530101,0.622185921544246
8,0.732766818994691,0.325287943406302,"N_N","N","N",1.05805476240099,0.407478875588389
8,-0.153438581882465,0.200196046702849,"N_Y","N","Y",0.0467574648203849,-0.353634628585314
8,-0.388403513198979,0.299021698366046,"Y_N","Y","N",-0.0893818148329337,-0.687425211565025
8,0.598173244051188,0.21623648826301,"Y_Y","Y","Y",0.814409732314197,0.381936755788178
8.5,0.676669375469405,0.23398954350717,"N_N","N","N",0.910658918976575,0.442679831962234
8.5,-0.253508443444586,0.196020687028487,"N_Y","N","Y",-0.0574877564160991,-0.449529130473074
8.5,-0.217954893767764,0.418081551838906,"Y_N","Y","N",0.200126658071142,-0.63603644560667
8.5,0.630442714648213,0.209006323043426,"Y_Y","Y","Y",0.839449037691638,0.421436391604787
9,0.539865675549723,0.291547732076839,"N_N","N","N",0.831413407626562,0.248317943472884
9,-0.257800653145579,0.226635130838263,"N_Y","N","Y",-0.0311655223073159,-0.484435783983842
9,-1.18917350827166,0.491598247705721,"Y_N","Y","N",-0.69757526056594,-1.68077175597738
9,0.483563095938011,0.204754718621595,"Y_Y","Y","Y",0.688317814559606,0.278808377316416
9.5,0.491943713387265,0.328854430490772,"N_N","N","N",0.820798143878037,0.163089282896493
9.5,-0.229666187731601,0.212317119361232,"N_Y","N","Y",-0.0173490683703696,-0.441983307092833
9.5,-0.988517935311113,0.59369739818462,"Y_N","Y","N",-0.394820537126492,-1.58221533349573
9.5,0.478716033514462,0.23578367924678,"Y_Y","Y","Y",0.714499712761242,0.242932354267683
10,0.394527671855261,0.412234414942336,"N_N","N","N",0.806762086797597,-0.017706743087075
10,-0.393318191981769,0.193468863346375,"N_Y","N","Y",-0.199849328635394,-0.586787055328144
10,-0.943114591603115,0.525978779062113,"Y_N","Y","N",-0.417135812541002,-1.46909337066523
10,0.207018343767744,0.240390402381256,"Y_Y","Y","Y",0.447408746149,-0.0333720586135117
10.5,0.347308763507774,0.481640171433495,"N_N","N","N",0.828948934941269,-0.134331407925721
10.5,-0.519743983210124,0.209720054417933,"N_Y","N","Y",-0.310023928792191,-0.729464037628057
10.5,-1.43982115884734,0.488911839943802,"Y_N","Y","N",-0.950909318903542,-1.92873299879115
10.5,-0.0160506931569415,0.20296406194261,"Y_Y","Y","Y",0.186913368785668,-0.219014755099552
11,0.176410231219477,0.447213754906889,"N_N","N","N",0.623623986126366,-0.270803523687412
11,-0.463248798912152,0.237619324979776,"N_Y","N","Y",-0.225629473932376,-0.700868123891928
11,-1.67736254304344,0.472080398711579,"Y_N","Y","N",-1.20528214433186,-2.14944294175502
11,-0.02725874706606,0.219709846669586,"Y_Y","Y","Y",0.192451099603526,-0.246968593735646
11.5,0.0178226710554646,0.519646162394152,"N_N","N","N",0.537468833449616,-0.501823491338687
11.5,-0.667104035041921,0.189684732715759,"N_Y","N","Y",-0.477419302326163,-0.85678876775768
11.5,-1.44685734250157,0.612191168666437,"Y_N","Y","N",-0.834666173835133,-2.05904851116801
11.5,-0.376065363983406,0.217928796692075,"Y_Y","Y","Y",-0.15813656729133,-0.593994160675481
12,-0.616438094753847,0.495743360462805,"N_N","N","N",-0.120694734291042,-1.11218145521665
12,-0.958091604466754,0.214534550251879,"N_Y","N","Y",-0.743557054214875,-1.17262615471863
12,-1.82341414798773,0.422712796194419,"Y_N","Y","N",-1.40070135179331,-2.24612694418215
12,-0.51843347588579,0.195302028125774,"Y_Y","Y","Y",-0.323131447760016,-0.713735504011564
12.5,-1.39604420659342,0.360576343885742,"N_N","N","N",-1.03546786270768,-1.75662055047916
12.5,-1.05020771124483,0.204714749117063,"N_Y","N","Y",-0.845492962127772,-1.2549224603619
12.5,-2.33813213297592,0.258789791143634,"Y_N","Y","N",-2.07934234183228,-2.59692192411955
12.5,-0.583389331214997,0.224372175804401,"Y_Y","Y","Y",-0.359017155410595,-0.807761507019398
13,-1.62083522201867,0.320710733234661,"N_N","N","N",-1.30012448878401,-1.94154595525334
13,-1.08057351044496,0.202161767529153,"N_Y","N","Y",-0.878411742915806,-1.28273527797411
13,-2.26909540710243,0.331188916635211,"Y_N","Y","N",-1.93790649046722,-2.60028432373764
13,-0.647804504233363,0.214858069302741,"Y_Y","Y","Y",-0.432946434930622,-0.862662573536105
13.5,-1.51527848114199,0.369626854576014,"N_N","N","N",-1.14565162656598,-1.88490533571801
13.5,-1.30887242189765,0.209921720817692,"N_Y","N","Y",-1.09895070107996,-1.51879414271534
13.5,-2.3081945756395,0.348709056856516,"Y_N","Y","N",-1.95948551878298,-2.65690363249601
13.5,-0.691914189026253,0.238079650152301,"Y_Y","Y","Y",-0.453834538873953,-0.929993839178554
14,-1.480571647021,0.344928874256845,"N_N","N","N",-1.13564277276415,-1.82550052127784
14,-1.20784263726111,0.231223410149904,"N_Y","N","Y",-0.976619227111208,-1.43906604741102
14,-2.11948078625451,0.252496916092334,"Y_N","Y","N",-1.86698387016217,-2.37197770234684
14,-0.726515906195971,0.285454550823189,"Y_Y","Y","Y",-0.441061355372783,-1.01197045701916
14.5,-1.41925642780857,0.22481189689331,"N_N","N","N",-1.19444453091526,-1.64406832470188
14.5,-1.28223524173393,0.207313683046833,"N_Y","N","Y",-1.0749215586871,-1.48954892478076
14.5,-1.68981191679459,0.426444673309662,"Y_N","Y","N",-1.26336724348493,-2.11625659010425
14.5,-0.797727557263851,0.298657938091019,"Y_Y","Y","Y",-0.499069619172832,-1.09638549535487
15,-1.62157987453748,0.207140842287623,"N_N","N","N",-1.41443903224986,-1.82872071682511
15,-1.27423753122654,0.209878315490929,"N_Y","N","Y",-1.06435921573562,-1.48411584671747
15,-2.07787342582223,0.439579239909968,"Y_N","Y","N",-1.63829418591226,-2.51745266573219
15,-0.800192072950939,0.302942520979966,"Y_Y","Y","Y",-0.497249551970973,-1.10313459393091
15.5,-1.75334490511535,0.248117358969941,"N_N","N","N",-1.50522754614541,-2.00146226408529
15.5,-1.40322140206703,0.220050265545221,"N_Y","N","Y",-1.18317113652181,-1.62327166761225
15.5,-1.79512591366869,0.559917988807139,"Y_N","Y","N",-1.23520792486155,-2.35504390247582
15.5,-0.823429164223671,0.30921361038146,"Y_Y","Y","Y",-0.514215553842211,-1.13264277460513
16,-1.86870717074557,0.23647182357515,"N_N","N","N",-1.63223534717042,-2.10517899432072
16,-1.51616366068496,0.216816296547141,"N_Y","N","Y",-1.29934736413782,-1.7329799572321
16,-1.84828669353049,0.410755530727937,"Y_N","Y","N",-1.43753116280256,-2.25904222425843
16,-0.863999627423551,0.280761533084693,"Y_Y","Y","Y",-0.583238094338858,-1.14476116050824
16.5,-1.87037294039105,0.232462314530271,"N_N","N","N",-1.63791062586077,-2.10283525492132
16.5,-1.36819967720917,0.246341170286389,"N_Y","N","Y",-1.12185850692278,-1.61454084749556
16.5,-1.74883959045366,0.433447723015063,"Y_N","Y","N",-1.3153918674386,-2.18228731346873
16.5,-0.89814296962161,0.301874934245909,"Y_Y","Y","Y",-0.596268035375701,-1.20001790386752
17,-1.82634760393037,0.234435324385466,"N_N","N","N",-1.5919122795449,-2.06078292831583
17,-1.29362134668311,0.279472220516317,"N_Y","N","Y",-1.01414912616679,-1.57309356719942
17,-1.76525872512895,0.4554285612903,"Y_N","Y","N",-1.30983016383865,-2.22068728641925
17,-0.882053391203465,0.27122482026438,"Y_Y","Y","Y",-0.610828570939085,-1.15327821146785
17.5,-1.92210704066996,0.219201395878187,"N_N","N","N",-1.70290564479177,-2.14130843654815
17.5,-1.33945910999065,0.297122198433602,"N_Y","N","Y",-1.04233691155705,-1.63658130842425
17.5,-1.6078967505267,0.48024476121879,"Y_N","Y","N",-1.12765198930791,-2.08814151174549
17.5,-0.987855170550911,0.249439905603799,"Y_Y","Y","Y",-0.738415264947112,-1.23729507615471
18,-2.06245930210938,0.253667722024447,"N_N","N","N",-1.80879158008493,-2.31612702413382
18,-1.38285675914743,0.322430228144988,"N_Y","N","Y",-1.06042653100244,-1.70528698729241
18,-1.71499742495153,0.501064434970253,"Y_N","Y","N",-1.21393298998128,-2.21606185992178
18,-1.12414437120782,0.186567461117094,"Y_Y","Y","Y",-0.937576910090726,-1.31071183232492
18.5,-1.90886411524234,0.327764822624066,"N_N","N","N",-1.58109929261827,-2.23662893786641
18.5,-1.33363308243046,0.363577038360453,"N_Y","N","Y",-0.970056044070011,-1.69721012079092
18.5,-1.57272477334664,0.454450119285599,"Y_N","Y","N",-1.11827465406104,-2.02717489263224
18.5,-1.05492601572203,0.202807025292179,"Y_Y","Y","Y",-0.852118990429854,-1.25773304101421
19,-1.6490632232815,0.317078709358901,"N_N","N","N",-1.3319845139226,-1.9661419326404
19,-1.32131594939566,0.434395297658357,"N_Y","N","Y",-0.886920651737307,-1.75571124705402
19,-1.29852071433378,0.421342413619275,"Y_N","Y","N",-0.877178300714509,-1.71986312795306
19,-0.776152082103169,0.249159969326103,"Y_Y","Y","Y",-0.526992112777066,-1.02531205142927
19.5,-1.5324395096753,0.3300444614133,"N_N","N","N",-1.202395048262,-1.8624839710886
19.5,-1.12167031994095,0.4461901372461,"N_Y","N","Y",-0.67548018269485,-1.56786045718705
19.5,-1.05964321873847,0.439279655056623,"Y_N","Y","N",-0.620363563681846,-1.49892287379509
19.5,-0.622424442549741,0.272461664442591,"Y_Y","Y","Y",-0.349962778107149,-0.894886106992332
20,-1.41490592071485,0.336577346508921,"N_N","N","N",-1.07832857420593,-1.75148326722377
20,-0.885487746220873,0.419961643082562,"N_Y","N","Y",-0.465526103138311,-1.30544938930344
20,-1.03829655373029,0.459235991093552,"Y_N","Y","N",-0.579060562636736,-1.49753254482384
